index;code;country;gamma;GDPSH60;LIFEE060;P60; safrica ; laam; bmp1 ; BMS6087; GDC6089; STDC6089; PI6089; STPI6089; SCOUT; area ; freeop; freetar; dpop6090; pyr60; syr60; hyr60; human60; s60; h60 ; YrsOpen; ggcfd3; gvxdxe52; geerec1; gde1; assassp2; revcoup; pinstab2; wardum; prightsb; civlibb; ABSLATIT; FRAC; DEMOC65; PRIEXP70; RULELAW; URB60; RERD; EQINV; NONEQINV; humanyl ; tot1; work60l; lly1; BRIT; FRENCH; SPAIN; BUDDHA; CATH; CONFUC; HINDU; JEW; MUSLIM; PROT; lforce60; Mining; EcOrg; OthFrac; EngFrac
57;HTI;Haiti;-0,01;6,77;42,40;0,46;0,00;1,00;0,00;0,00;15,02;19,88;6,61;6,33;0,00;28,00;0,31;0,03;0,02;0,47;0,21;0,01;0,69;0,04;0,00;0,00;0,00;0,12;0,02;0,03;0,14;0,16;0,07;1,00;6,50;5,67;18,93;0,01;0,21;0,74;0,00;0,16;114,00;0,00;0,07;4,68;;-0,63;0,11;0,00;1,00;0,00;0,00;0,80;0,00;0,00;0,00;0,00;0,16;2029,13;0,00;3,00;0,08;0,00
58;HND;Honduras;0,01;6,91;46,80;0,67;0,00;1,00;0,00;10,97;15,89;8,48;5,26;3,68;1,00;112,00;;;0,03;1,50;0,17;0,02;1,69;0,08;0,01;0,36;0,03;0,08;0,02;0,02;0,00;0,32;0,00;1,00;4,06;3,00;14,19;0,16;0,50;0,92;0,17;0,23;156,00;0,04;0,09;11,64;0,03;-1,14;0,15;0,00;0,00;1,00;0,00;0,97;0,00;0,00;0,00;0,00;0,02;618,23;0,01;3,00;0,84;0,00
59;JAM;Jamaica;0,01;7,49;63,00;0,92;0,00;1,00;0,02;29,05;20,56;19,66;12,43;9,08;0,00;11,00;0,32;0,03;0,01;2,16;0,28;0,02;2,46;0,45;0,02;0,42;0,09;0,02;0,02;0,00;0,00;0,00;0,00;1,00;1,72;2,61;18,06;0,05;0,90;0,47;0,17;0,34;139,00;0,05;0,16;18,45;-0,02;-0,89;0,22;1,00;0,00;0,00;0,00;0,05;0,00;0,00;0,00;0,00;0,56;667,89;0,09;5,00;0,00;0,94
60;MEX;Mexico;0,02;7,94;57,30;0,80;0,00;1,00;0,00;14,51;40,70;34,72;29,04;34,87;0,00;1958,00;0,18;0,01;0,03;2,10;0,26;0,04;2,40;0,11;0,03;0,20;0,06;0,03;0,01;0,01;0,00;0,00;0,00;0,00;3,67;3,67;16,76;0,30;0,75;0,68;0,67;0,51;71,00;0,02;0,17;19,09;0,01;-1,24;;0,00;0,00;1,00;0,00;0,89;0,00;0,00;0,00;0,00;0,06;10995,38;0,03;3,00;0,88;0,00
61;NIC;Nicaragua;-0,01;7,30;47,30;0,66;0,00;1,00;0,32;142,21;16,55;10,44;42,87;104,14;0,00;130,00;0,22;0,03;0,03;1,89;0,17;0,02;2,07;0,07;0,01;0,33;;0,03;0,02;0,02;0,00;0,20;0,00;1,00;5,11;4,72;12,21;0,10;0,55;0,84;0,17;0,41;103,00;0,01;0,13;15,14;0,01;-1,22;0,13;0,00;0,00;1,00;0,00;0,95;0,00;0,00;0,00;0,00;0,05;442,82;0,04;3,00;0,65;0,01
62;PAN;Panama;0,03;7,32;60,90;0,96;0,00;1,00;0,00;0,00;16,62;10,75;4,10;3,29;0,00;77,00;;;0,02;3,43;0,74;0,09;4,26;0,29;0,05;0,28;0,08;0,16;0,04;0,00;0,14;0,16;0,37;0,00;5,72;4,83;9,21;0,28;0,77;0,96;0,17;0,41;129,00;0,04;0,22;31,19;0,02;-1,10;0,17;0,00;0,00;1,00;0,00;0,93;0,00;0,00;0,00;0,00;0,06;382,97;0,00;3,00;0,69;0,14
63;LCA;StLucia;;;;;0,00;1,00;;;;;;;;;;;;3,58;0,13;0,01;3,71;;;;;;;;;0,00;;;1,67;2,50;13,90;;;0,92;;;;;;;;;;1,00;0,00;0,00;0,00;0,90;0,00;0,00;0,00;0,00;0,10;;;5,00;0,67;0,17
64;VCT;StVincent & Grens;;;;;0,00;1,00;;;;;;;;;;;;4,19;0,20;0,01;4,41;;;;;;;;;;;;1,83;2,00;13,25;;;0,98;;;;;;;;;;1,00;0,00;0,00;;;;;;;;;;5,00;0,00;1,00
65;TTO;Trinidad & Tobago;0,01;8,64;63,90;0,88;0,00;1,00;;7,11;14,19;77,57;9,31;13,30;0,00;5,00;0,31;0,08;0,01;3,69;0,89;0,02;4,60;0,24;0,01;0,00;0,07;0,02;0,02;0,00;0,00;0,05;0,00;0,00;1,56;1,89;10,42;0,56;0,85;0,87;0,67;0,22;96,00;0,04;0,17;39,72;-0,02;-1,02;0,22;1,00;0,00;0,00;0,00;0,32;0,00;0,24;0,00;0,06;0,28;305,25;0,16;3,00;0,04;0,93
66;USA;United States;0,02;9,19;69,80;1,00;0,00;0,00;0,00;0,00;9,31;2,73;5,03;2,63;0,00;9373,00;0,11;0,00;0,01;5,26;2,87;0,53;8,67;0,86;0,32;1,00;0,03;0,01;0,04;0,09;0,01;0,00;0,00;1,00;1,00;1,00;34,36;0,50;0,92;0,30;1,00;0,70;90,00;0,07;0,15;79,63;0,01;-0,90;0,63;1,00;0,00;0,00;0,00;0,28;0,00;0,00;0,02;0,00;0,56;73171,76;0,02;5,00;0,09;0,89
